member_id,customer_key,unaltered_customer_key,display_name,level_id,is_deleted,a_phasedescription,a_phasekey,a_phaseparentkey,a_phasesorting
969,uat1enp_2022,UAT1ENP_2022,Engagé>2022 HUB1,64901,false,Engagé>2022 HUB1,UAT1ENP_2022,SAP,01.22.3|EN2022_POST
970,uat2actual_2022,UAT2Actual_2022,Réel 2022 HUB2,64901,false,Réel 2022 HUB2,UAT2Actual_2022,SAP,02.22.1|Actual2022
971,uat2eng_2022,UAT2ENG_2022,Engagé 2022 HUB2,64901,false,Engagé 2022 HUB2,UAT2ENG_2022,SAP,02.22.2|EN2022
972,uat2eng_2022_post,UAT2ENG_2022_POST,Engagé>2022 HUB2,64901,false,Engagé>2022 HUB2,UAT2ENG_2022_POST,SAP,02.22.3|EN2022_POST
973,pc2022_m11,PC2022_M11,PC2022_M11,64901,false,PC2022_M11,PC2022_M11,Forecast,PC2022_M11|2022FY
974,en2022_post,EN2022_POST,Engagé >2022,64901,false,Engagé >2022,EN2022_POST,ENG_POST,EN2022_POST|2022FYSR1|UAT1ENP_2022|UAT2ENP_2022
965,actual2022,Actual2022,Réalisé 2022,64901,false,Réalisé 2022,Actual2022,EN2022_ACT,Actual2022FYSR1|UAT1Actual_2022|UAT2Actual_2022|PhaseClosed=Y
228,actual2019,Actual2019,Réalisé 2019,64901,false,Réalisé 2019,Actual2019,EN2019_ACT,Actual2019|UAT1Actual_2019|PhaseClosed=Y
975,pc2022_m11_w,PC2022_M11_W,PC2022_M11 Collecte,64901,false,PC2022_M11 Collecte,PC2022_M11_W,BDG,PC2022_M11|2022FY
1052,plt2023_h00_b03_new,PLT2023_H00_B03_new,BI/PLT 2023 H00 B03 (Back-up 20221107),64901,false,BI/PLT 2023 H00 B03 (Back-up 20221107),PLT2023_H00_B03_new,BXX,PLT2023_H00_V03|2023FY
1085,plt2023_h00_b04,PLT2023_H00_B04,BI/PLT 2023 H00 B04 (Back-up 20221214),64901,false,BI/PLT 2023 H00 B04 (Back-up 20221214),PLT2023_H00_B04,BXX,PLT2023_H00_V04|2023FY
524,uat2actual_2018,UAT2Actual_2018,Réel 2018 SAP2,64901,false,Réel 2018 SAP2,UAT2Actual_2018,SAP,02.18|Actual2018
16,uat2corpplan_2020,UAT2CorpPlan_2020,PLT 2020 UAT2,64901,false,PLT 2020 UAT2,UAT2CorpPlan_2020,UAT,Ux99.07
1119,actual2018p36,Actual2018P36,Réalisé 2018 (M-36),64901,false,Réalisé 2018 (M-36),Actual2018P36,BZZ,BI2021_CA|Actual2018P36
1120,actual2019p24,Actual2019P24,Réalisé 2019 (M-24),64901,false,Réalisé 2019 (M-24),Actual2019P24,BZZ,BI2021_CA|Actual2019P24
1121,actual2020p12,Actual2020P12,Réalisé 2020 (M-12),64901,false,Réalisé 2020 (M-12),Actual2020P12,BZZ,BI2021_CA|Actual2020P12
1122,actual2019p36,Actual2019P36,Réalisé 2019 (M-36),64901,false,Réalisé 2019 (M-36),Actual2019P36,BZZ,BI2022_CA|Actual2019P36
1123,actual2020p24,Actual2020P24,Réalisé 2020 (M-24),64901,false,Réalisé 2020 (M-24),Actual2020P24,BZZ,BI2022_CA|Actual2020P24
1124,actual2021p12,Actual2021P12,Réalisé 2021 (M-12),64901,false,Réalisé 2021 (M-12),Actual2021P12,BZZ,BI2022_CA|Actual2021P12
1125,actual2020p36,Actual2020P36,Réalisé 2020 (M-36),64901,false,Réalisé 2020 (M-36),Actual2020P36,BZZ,BI2023_CA|Actual2020P36
1126,actual2021p24,Actual2021P24,Réalisé 2021 (M-24),64901,false,Réalisé 2021 (M-24),Actual2021P24,BZZ,BI2023_CA|Actual2021P24
1127,actual2022p12,Actual2022P12,Réalisé 2022 (M-12),64901,false,Réalisé 2022 (M-12),Actual2022P12,BZZ,BI2023_CA|Actual2022P12
1128,bud_2023_h00_v00,BUD_2023_H00_V00,BU Demandé 2023,64901,false,BU Demandé 2023,BUD_2023_H00_V00,BDG,BUD_2023_H00_V00|2023FY
